血菩提|xue puti
舍利子|sheli zi
昊天果|haotian guo
活骨灵药|huogu lingyao
朱果|zhu guo
金块|jin kuai
翡翠|fei cui
玉石|yu shi
珍珠|zhen zhu
玛瑙|ma nao
钻石|zuan shi
心菩提|xin puti
佛尊舍利|fozun sheli
昊天丹|haotian dan
养生丹|yangsheng dan
火龙果|huolong guo
冰菩提|bing puti
帝者舍利|dizhe sheli
钻石碎粒|chipped diamond
玛瑙残片|chipped agate
水晶残片|chipped crystal
翡翠残片|chipped jade
菩提子|puti zi
圣舍利|sheng sheli
神力丸|shenli wan
增慧丹|zenghui dan
壮骨粉|zhuanggu fen
福寿膏|fushou gao
邯郸石|handan shi
碧血石|bixue shi
紫金矿|zijin kuang
乌金矿|wujin kuang
钛金竹|taijin zhu
百年人参|bainian renshen
百年灵芝|bainian lingzhi
天山雪莲|tianshan xuelian
天残玉|tiancan yu
青鱼牙|qingyu ya
天罡碳|tiangang tan
幻地神珠|huandi shenzhu
通天草|tongtian cao
千年人参|qiannian renshen
千年灵芝|qiannian lingzhi
千年雪莲|qiannian xuelian
白虎赐元丹|baihu dan
青龙炼睿丹|qinglong dan
玄武铸骨丹|xuanwu dan
朱雀玲珑丹|zhuque dan
百年参心丹|shenxin dan
百年灵芝丸|lingzhi wan
天山雪莲膏|xuelian gao
镇龙石|zhenlong shi
九雷玄音纱|xuanyin sha
盘龙银绞丝|yinjiao si
颛顼图腾|zhuanxu tu
天吴图腾|tianwu tu
句芒图腾|jumang tu
鶽鸟图腾|xunniao tu
烛龙图腾|zhulong tu
鸀鸟图腾|zhuniao tu
赤蛇图腾|chishe tu
窫窳图腾|yeyu tu
五彩玲珑珠|wucai zhu
息壤|xi rang
青龙牙|qinglong ya
如意通天镢|ruyi jue
青龙图腾|qinglong tu
白虎图腾|baihu tu
玄武图腾|xuanwu tu
朱雀图腾|zhuque tu
蚩尤图腾|chiyou tu
应龙图腾|yinglong tu
雷兽图腾|leishou tu
刑天图腾|xingtian tu
夸父图腾|kuafu tu
玄蛇图腾|xuanshe tu
天香玉露|tianxiang yulu
地脉血泉|dimai xuequan
千年参心丹|shenxin dan
千年灵芝丸|lingzhi wan
千年雪莲膏|xuelian gao
八仙石|baxian shi
昆仑石|kunlun shi
皓月金砂|haoyue jinsha
雷火寒晶|leihuo hanjing
银蛛丝|yinzhu si
羊皮碎片|sui pian
刀典残篇|daodian canpian
拳典残篇|quandian canpian
棍笈残篇|gunji canpian
九宫器法残篇|jiugong canpian
锤谱残篇|chuipu canpian
杖谱残篇|zhangpu canpian
剑典残篇|jiandian canpian
鞭诀残篇|bianjue canpian
蚩尤诛元仙丹|zhuyuan xiandan
神恩通慧仙丹|tonghui xiandan
破阳无极仙丹|wuji xiandan
洗髓再造仙丹|xisui xiandan
阎罗绸|yanluo chou
离火玄冰玉|lihuo yu
天山玄铁|tianshan xuantie
九转金丹|jiuzhuan jindan
