shui dai|shui dai|牛皮水袋|buy|zxl|buy shui dai from xiao er|
gan liang|gan liang|干粮|buy|zxl|buy gan liang from xiao er|
jin chuangyao|jin chuangyao|金创药|buy|yp|buy 金创药 from yaopu huoji|
//yangjing dan|yangjing dan|养精丹|buy|yp|buy 养精丹 from yaopu huoji|
yuchi zhou|yuchi zhou|鱼翅粥|buy|zxl|buy 100 yuchi zhou from xiao er|
//fire|fire|火折|buy|zhp|buy 火折 from yang yongfu|
//long bow|long bow|长弓|buy|dtp|buy long bow from tie jiang|9
arrow|Arrow|狼牙箭|buy|dtp|buy 50 狼牙箭 from tie jiang|3
//long sword|long sword|长剑|buy|dtp|buy long sword from tie jiang|
//iron blade|iron blade|钢刀|buy|dtp|buy iron blade from tie jiang|
//sleepbag|sleepbag|睡袋|buy|zhp|buy 睡袋 from yang yongfu

//diao gan|diao gan|钓竿|buy|liu laoshi|buy 钓竿 from liu laoshi

hua zhong|hua zhong|花种|buy|hua nong|buy 花种 from hua nong

paper|papar|纸张|buy|zhp|buy 纸张 from yang yongfu

wandao|wandao|阿拉伯弯刀|buy|shop-daodian|buy 阿拉伯弯刀
hulu|hulu|葫芦|buy|shop-baodaiqiao|buy 葫芦
zhubang|zhubang|竹棒|buy|shop-baodaiqiao|buy 竹棒
zhujian|zhujian|竹剑|buy|shop-baodaiqiao|buy 竹剑
caixia tu|caixia tu|彩霞图腾|buy|shop-baihuzhai|buy 彩霞图腾
canyue tu|canyue tu|残月图腾|buy|shop-baihuzhai|buy 残月图腾
daofeng tu|daofeng tu|刀锋图腾|buy|shop-baihuzhai|buy 刀锋图腾
fengyu tu|fengyu tu|凤羽图腾|buy|shop-baihuzhai|buy 凤羽图腾
hudie tu|hudie tu|蝴蝶图腾|buy|shop-baihuzhai|buy 蝴蝶图腾
huiyan tu|huiyan tu|慧眼图腾|buy|shop-baihuzhai|buy 慧眼图腾
huoyan tu|huoyan tu|火焰图腾|buy|shop-baihuzhai|buy 火焰图腾
huzhao tu|huzhao tu|虎爪图腾|buy|shop-baihuzhai|buy 虎爪图腾
kulou tu|kulou tu|骷髅图腾|buy|shop-baihuzhai|buy 骷髅图腾
longya tu|longya tu|龙牙图腾|buy|shop-baihuzhai|buy 龙牙图腾
longzhao tu|longzhao tu|龍爪图腾|buy|shop-baihuzhai|buy 龍爪图腾
meigui tu|meigui tu|玫瑰图腾|buy|shop-baihuzhai|buy 玫瑰图腾
qingshe tu|qingshe tu|青蛇图腾|buy|shop-baihuzhai|buy 青蛇图腾
shandian tu|shandian tu|闪电图腾|buy|shop-baihuzhai|buy 闪电图腾
taiji tu|taiji tu|太极图腾|buy|shop-baihuzhai|buy 太极图腾
wugong tu|wugong tu|蜈蚣图腾|buy|shop-baihuzhai|buy 蜈蚣图腾
xiezi tu|xiezi tu|蝎子图腾|buy|shop-baihuzhai|buy 蝎子图腾
yanlei tu|yanlei tu|眼泪图腾|buy|shop-baihuzhai|buy 眼泪图腾
yanzi tu|yanzi tu|燕子图腾|buy|shop-baihuzhai|buy 燕子图腾
