蟒蛇|但见巨蟒一个盘身，顿时挡住了你的去路。
玄冰赤蟒|你正欲离开此地，却只见玄冰赤蟒一个盘旋，顿时将去路完全封锁。
虚通|虚通伸手拦住你白眼一翻说道：千年以来，少林向不许女流擅入。小师太
虚通|虚通伸手拦住你白眼一翻说道：千年以来，少林向不许女流擅入。师太
虚通|虚通伸手拦住你白眼一翻说道：千年以来，少林向不许女流擅入。小仙姑
虚通|虚通伸手拦住你白眼一翻说道：千年以来，少林向不许女流擅入。仙姑
虚通|虚通伸手拦住你白眼一翻说道：千年以来，少林向不许女流擅入。小姑娘
虚通|虚通伸手拦住你白眼一翻说道：千年以来，少林向不许女流擅入。姑娘
虚通|虚通伸手拦住你白眼一翻说道：千年以来，少林向不许女流擅入。大婶
虚通|虚通伸手拦住你白眼一翻说道：千年以来，少林向不许女流擅入。婆婆
虚明|虚明迈步挡在你身前，双手合什说道：阿弥陀佛，这位小师太请留步，
虚明|虚明迈步挡在你身前，双手合什说道：阿弥陀佛，这位师太请留步，
虚明|虚明迈步挡在你身前，双手合什说道：阿弥陀佛，这位小仙姑请留步，
虚明|虚明迈步挡在你身前，双手合什说道：阿弥陀佛，这位仙姑请留步，
虚明|虚明迈步挡在你身前，双手合什说道：阿弥陀佛，这位小姑娘请留步，
虚明|虚明迈步挡在你身前，双手合什说道：阿弥陀佛，这位姑娘请留步，
虚明|虚明迈步挡在你身前，双手合什说道：阿弥陀佛，这位大婶请留步，
虚明|虚明迈步挡在你身前，双手合什说道：阿弥陀佛，这位婆婆请留步，
打手|打手一把抓住了你，说道：“咱们这里是有规矩的地方，不准带武器进入。”
打手|打手一把抓住了你，说道:“这里不是女人该来的地方，你别进去。”
