    小弟弟|多哥
    心掛半殘人|必
    保护视力|小心眼
    卖汤圆|零售
    人面不知何处去|丢脸
    未肯埋名负此生|活期存款
    欲穷千里目，更上一层楼|高见
    鼓上蚤鸡鸣狗盗|时装表演
    诗韵清香细品尝|风味小吃
    漏船载酒江中流|危险度
    不告而别|走私
    阳出，冰山滴|自动化
    柳眼半舒卿见否|相
    身残心不残|息
    心同祖国不分离|忠
    文武俱全|刘备
    凉风习习入户来|扇
    家中又添一口|豪
    两点一直，一直两点|慎
    瓜熟蒂落|爪
    岁岁除夕团聚|出
    柳絮随风舞|白起
    一曲高歌夕阳下|曹
    明天月全蚀|昊
    扁担作字两头看|始终如一
    头戴平顶帽，留着八字须，身材干干瘦，样子真稀奇|罕
    只走一半|足
    蓝色之洋|青海
    李闯王的腰带|自成体系
    岚山风光|出
    半局殘棋對一|期
    日进一尺|昼
    戈壁滩上一棵草|莎
    残菊飘零满地金|黄盖
    幽兰山下二度开|兹
    重男轻女|贵阳
    两人因工分居|巫
    推开又来|摊
    一女人帶弓|姨
    二畫大，二畫小|秦
    四十八個頭|井
    出自幽谷，遷於喬木|果
    半推半就|掠
    日環蝕|口
    牽牛星|旦
    東風著地吹|茜
    上又無畫，下又無畫|卜
    日月自西東|明
    合二而一|面
    少一些，再少一些|此
    一彎新月帶三星|心
    閃一人在門外|们
    杯杯不落空|林
    一一補此|些
    平地蓋起三層樓|且
    一口咬掉牛尾巴|告
    上下落空|八
    上長無兄|歌
    錯了一半，用心彌補|惜
    打破常規，消取偏見|夫
    半局殘棋對一月|期
    点点萤火照江边|淡
    白玉无瑕|皇
    多出一半|岁
    酱多油少|酒
    见人就笑|竺
    头是一，尾是一，中间横直都是一，其实不是一|王
    洞中有洞|回
    直见文山一片心|恼
    林木森森|杂
    干在前头|平
    个体户售货|丹麦
    一双瞳仁剪秋水|眼儿媚
    残花片片如飞雪|皆
    千古结同心|恬
    兵强马壮|武昌
    雨后横山翠|雪碧
    沐李荣桃处处春|楞
    云破月来花弄影|能
    菜田浇水除草|潘
    千古一绝|估
    花残犹散二分香|稽
    仙人所居|神户
    一水相隔难成行|衍
    中间一长一短，上下大小各别|奈
    不得不露头|杯
    一桅白帆挂二片，三颗寒星映孤舟|悲
    咬一口掉|交
    半部春秋反复看|秦观
    枝头眉月鸣鸟飞|和
    大框框不破|因
    牡丹誉冠群芳|花甲
    西线无战事|西安
    没有一点良心|恳
    讲好在清晨|约旦
    初见成效|刚果
    四夕|开罗
    悬崖勒马|危地马拉
    两点一直，一直两点。|慎
    十年顽疾须臾除|霍去病
    四边残缺|匹
    天没它大，人有它大|一
    国外进口|回
    夏前它来到，秋后没处找，摧咱快播种，年年来一遭|布谷鸟
    迁来一口|适
    手电筒|执照
    雷兩过后月更新|胃
    闺中人侧立|佳
    笼中鸟|关羽
    受刺激后会变大|瞳孔
    刽子手的嘴脸|宰相
    诸君来猜谜，不要说话不要走，且站一边，对着细想|粗
    果断有力|男
    中日合作|晔
    金银铜铁|无锡
    雷霆震顶雹打头，旱季有它不用愁|雨
    黄帝奠基|王安石
    向左一直去|句
    船出长江口|上海
    上下连成一片|卡
    多少心血得一言|谧
    桥头水断|梳
    凶横|区
    黄昏前后|昔
    只是朱颜改|不丹
    四面囤粮|周仓
    长安一片月|秦明
    御驾亲征|王戎
    只采取一半|楫
    花落人亡两不知|七
    一女人带弓|姨
    唇齿相依|呀
    此曲只应天上有|不同凡响
    水陆要塞|山海关
    日落西山|沈阳
    闭门复习|关羽
    阳春白雪|高调
    大口加小口|固
    孙夫人|配备
    婢女去来频|颦
    胖子开会|合肥
    瞎子找绳|摸索
    萤|昆明
    窗前草出芽|穿
    舍南舍北皆春水|左右逢源
    人在草木中|茶
    野火烧不尽|荐
    第五名后|陆续
    错了一半，用心弥补|惜
    两点到西陵|凌
    元前明后|宋清
    十八到西洋|样
    一口答应|哟
    油煎豆腐|黄盖
    一日千里|飞机
    挖壁偷光|孔明
    黛玉葬花|埋怨
    长寿之道|健谈
    只怨放翁把妻休|光怪陆离
    昔日紫禁城|陈宫
    公说公有理|雄辩
    一千零一夜|歼
    千姊妹，万姊妹，同床睡，各盖被。|石榴
    心掛半残人|必
    邮筒被盗|失信
    半局残棋对一|期
    麦熟|黄盖
    玉宇澄清万里埃|一尘不染
    两人坐扁担|从
    没有女人的地方|汉城
    两点一直|慎
    渔舟浅唱第一声|水调歌头
    一抹残阳缀桃颜|殊
    身穿着蓑衣，肉儿香又甜，要脱去那蓑衣，就会手儿痒。|芋头
    病来如山倒|疟
    潮水退，月已坠，小舟飘逝意难违|韩
    乖|乘人不备
    鸡汤|酒
    水落石出|泵
    田里雨後长青草|蕾
    诸君来猜谜，不要说话不要走，且站一边，对着细想。|粗"
